graphNo, Vertex-Num, radius, diameter, entropy
43694, 17, 6, 12, 4.05652
43695, 17, 6, 11, 4.05382
43696, 17, 5, 9, 4.05346
43697, 17, 6, 12, 4.05147
43698, 17, 6, 12, 4.05612
43699, 17, 5, 9, 4.05507
43700, 17, 5, 10, 4.05343
43701, 17, 4, 8, 4.05463
43702, 17, 5, 9, 4.05336
43703, 17, 5, 9, 4.05277
43704, 17, 5, 10, 4.05411
43705, 17, 7, 13, 4.05659
43706, 17, 5, 10, 4.0565
43707, 17, 5, 9, 4.05443
43708, 17, 5, 9, 4.05376
43709, 17, 6, 12, 4.05724
43710, 17, 5, 9, 4.05577
43711, 17, 6, 11, 4.05563
43712, 17, 6, 11, 4.06092
43713, 17, 6, 11, 4.05139
43714, 17, 5, 9, 4.05483
43715, 17, 4, 8, 4.05517
43716, 17, 5, 10, 4.05234
43717, 17, 6, 11, 4.05679
43718, 17, 6, 12, 4.05899
43719, 17, 6, 12, 4.05353
43720, 17, 4, 8, 4.05341
43721, 17, 5, 10, 4.05237
43722, 17, 5, 9, 4.05513
43723, 17, 6, 11, 4.05352
43724, 17, 6, 12, 4.0519
43725, 17, 5, 10, 4.05393
43726, 17, 6, 11, 4.05205
43727, 17, 6, 11, 4.05455
43728, 17, 5, 10, 4.05679
43729, 17, 6, 12, 4.05301
43730, 17, 6, 11, 4.06057
43731, 17, 5, 9, 4.05702
